Age,Gender,Education Level,Job Title,Years of Experience,Salary,Career_Start_Age,Gender_Encoded,Education_Level_Encoded,Job_Title_Encoded
33.0,Male,Bachelor's,Web Developer,6.0,65000.0,27.0,1,1.0,190
39.0,Female,Bachelor's,Recruiter,11.0,70000.0,28.0,0,1.0,112
45.0,Male,PhD,Research Director,16.0,190000.0,29.0,1,3.0,113
28.0,Male,Bachelor's,Technical Support Specialist,2.0,40000.0,26.0,1,1.0,183
42.0,Female,Master's,Creative Director,14.0,120000.0,28.0,0,2.0,12
37.0,Male,Bachelor's,Project Manager,10.0,95000.0,27.0,1,1.0,109
50.0,Female,Bachelor's,Operations Manager,22.0,160000.0,28.0,0,1.0,102
32.0,Male,Master's,Senior Software Engineer,6.0,100000.0,26.0,1,2.0,168
48.0,Female,Master's,Human Resources Director,20.0,180000.0,28.0,0,2.0,50
30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0,27.0,0,1.0,10
36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0,28.0,1,1.0,182
41.0,Female,Master's,Data Analyst,13.0,80000.0,28.0,0,2.0,18
25.0,Male,Bachelor's,Sales Representative,0.0,30000.0,25.0,1,1.0,120
52.0,Male,PhD,Chief Technology Officer,24.0,250000.0,28.0,1,3.0,9
29.0,Female,Bachelor's,Junior Designer,2.0,40000.0,27.0,0,1.0,65
34.0,Female,Master's,Financial Advisor,10.0,95000.0,24.0,0,2.0,39
27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0,25.0,1,1.0,55
40.0,Female,Bachelor's,HR Generalist,15.0,80000.0,25.0,0,1.0,46
46.0,Male,Master's,Senior Project Manager,21.0,135000.0,25.0,1,2.0,159
31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0,25.0,0,1.0,94
36.0,Male,PhD,Principal Scientist,11.0,120000.0,25.0,1,3.0,104
29.0,Female,Bachelor's,Sales Associate,3.0,40000.0,26.0,0,1.0,115
43.0,Male,Bachelor's,Supply Chain Manager,18.0,105000.0,25.0,1,1.0,181
52.0,Female,Master's,Senior Marketing Manager,25.0,170000.0,27.0,0,2.0,148
33.0,Male,Bachelor's,Business Analyst,7.0,75000.0,26.0,1,1.0,4
39.0,Female,Bachelor's,Training Specialist,12.0,65000.0,27.0,0,1.0,185
47.0,Male,PhD,Research Scientist,22.0,160000.0,25.0,1,3.0,114
26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0,25.0,1,1.0,86
38.0,Female,Master's,Public Relations Manager,10.0,90000.0,28.0,0,2.0,110
45.0,Male,Bachelor's,Operations Analyst,20.0,110000.0,25.0,1,1.0,100
31.0,Female,Bachelor's,Event Coordinator,5.0,45000.0,26.0,0,1.0,38
35.0,Male,Master's,Product Marketing Manager,8.0,95000.0,27.0,1,2.0,107
49.0,Female,Master's,Senior HR Manager,19.0,150000.0,30.0,0,2.0,136
33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0,28.0,1,1.0,90
39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0,26.0,0,2.0,157
44.0,Male,PhD,Chief Data Officer,16.0,220000.0,28.0,1,3.0,8
30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0,27.0,0,1.0,22
36.0,Male,Bachelor's,IT Support Specialist,7.0,60000.0,29.0,1,1.0,54
41.0,Female,Master's,Senior Marketing Analyst,14.0,100000.0,27.0,0,2.0,145
28.0,Male,Bachelor's,Customer Success Manager,2.0,40000.0,26.0,1,1.0,16
42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0,27.0,0,2.0,134
37.0,Male,Bachelor's,Software Project Manager,9.0,95000.0,28.0,1,1.0,178
50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0,28.0,0,1.0,180
32.0,Male,Master's,Senior Business Analyst,6.0,90000.0,26.0,1,2.0,124
23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0,22.5,0,1.0,71
31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0,25.0,1,2.0,132
40.0,Female,Bachelor's,Office Manager,15.0,65000.0,25.0,0,1.0,99
48.0,Male,PhD,Principal Engineer,20.0,170000.0,28.0,1,3.0,103
29.0,Female,Bachelor's,Junior HR Generalist,3.0,45000.0,26.0,0,1.0,70
35.0,Male,Master's,Senior Product Manager,10.0,120000.0,25.0,1,2.0,155
42.0,Female,Bachelor's,Sales Manager,17.0,100000.0,25.0,0,1.0,118
53.0,Male,Master's,Director of Marketing,25.0,180000.0,28.0,1,2.0,33
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0,28.0,0,1.0,75
38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0,27.0,1,1.0,13
44.0,Female,PhD,Senior Scientist,16.0,140000.0,28.0,0,3.0,165
26.0,Male,Bachelor's,Junior Accountant,2.0,40000.0,24.0,1,1.0,56
37.0,Female,Master's,Senior HR Generalist,9.0,95000.0,28.0,0,2.0,135
45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0,27.0,1,1.0,119
32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0,28.0,0,1.0,94
34.0,Male,Master's,Senior Software Developer,8.0,105000.0,26.0,1,2.0,167
50.0,Female,Master's,Director of Operations,21.0,160000.0,29.0,0,2.0,34
29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0,26.0,1,1.0,89
40.0,Female,Master's,Senior Training Specialist,12.0,100000.0,28.0,0,2.0,169
47.0,Male,PhD,Senior Research Scientist,22.0,160000.0,25.0,1,3.0,161
27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0,26.0,1,1.0,83
39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0,29.0,0,1.0,2
46.0,Male,Master's,Senior Project Manager,19.0,140000.0,27.0,1,2.0,159
30.0,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0,26.0,0,1.0,73
36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0,29.0,1,1.0,63
43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0,29.0,0,2.0,156
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,26.0,1,1.0,58
41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0,28.0,0,2.0,148
33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0,28.0,1,1.0,86
47.0,Male,Bachelor's,Senior Sales Manager,20.0,135000.0,27.0,1,1.0,163
25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0,23.5,0,2.0,74
34.0,Male,Bachelor's,Senior Business Analyst,8.0,90000.0,26.0,1,1.0,124
42.0,Female,PhD,Senior Data Scientist,16.0,150000.0,26.0,0,3.0,129
31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0,27.0,1,1.0,79
38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0,28.0,0,1.0,123
45.0,Male,Master's,Director of Sales,19.0,175000.0,26.0,1,2.0,36
29.0,Female,Bachelor's,Junior Recruiter,3.0,45000.0,26.0,0,1.0,80
36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0,25.0,1,2.0,125
43.0,Female,PhD,Senior Product Designer,18.0,140000.0,25.0,0,3.0,153
26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0,24.0,1,1.0,62
37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0,28.0,0,2.0,145
44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0,30.0,1,1.0,143
32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0,27.0,0,1.0,68
33.0,Male,Master's,Senior Operations Manager,7.0,115000.0,26.0,1,2.0,152
51.0,Female,PhD,Director of Human Resources,23.0,185000.0,28.0,0,3.0,32
28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0,26.0,1,1.0,87
39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0,27.0,0,1.0,164
48.0,Male,Master's,Director of Product Management,21.0,175000.0,27.0,1,2.0,35
30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0,27.0,0,1.0,61
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0,28.0,1,1.0,146
41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0,28.0,0,2.0,139
27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0,25.5,1,1.0,59
40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0,26.0,0,1.0,122
46.0,Male,PhD,Senior Researcher,18.0,150000.0,28.0,1,3.0,162
31.0,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0,27.0,0,1.0,69
34.0,Male,Master's,Senior Software Engineer,9.0,105000.0,25.0,1,2.0,168
50.0,Female,Master's,Director of Finance,20.0,180000.0,30.0,0,2.0,29
29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,27.0,1,1.0,72
43.0,Male,Bachelor's,Senior Project Manager,16.0,140000.0,27.0,1,1.0,159
26.0,Female,Master's,Junior Data Scientist,1.5,45000.0,24.5,0,2.0,64
35.0,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0,28.0,1,1.0,150
42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0,24.0,0,3.0,148
31.0,Male,Bachelor's,Junior Accountant,4.0,50000.0,27.0,1,1.0,56
38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0,28.0,0,1.0,138
46.0,Male,Master's,Director of Operations,20.0,170000.0,26.0,1,2.0,34
29.0,Female,Bachelor's,Junior Sales Representative,2.0,40000.0,27.0,0,1.0,83
37.0,Male,Master's,Senior Business Analyst,9.0,105000.0,28.0,1,2.0,124
44.0,Female,PhD,Senior UX Designer,15.0,145000.0,29.0,0,3.0,170
27.0,Male,Bachelor's,Junior Product Manager,2.0,40000.0,25.0,1,1.0,78
36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0,28.0,0,1.0,149
43.0,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0,29.0,1,1.0,142
33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0,27.0,0,2.0,132
34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0,25.0,1,1.0,160
50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0,28.0,0,3.0,37
28.0,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0,26.5,1,1.0,75
39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0,27.0,0,1.0,121
47.0,Male,Master's,Director of Business Development,19.0,170000.0,28.0,1,2.0,26
30.0,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0,27.0,0,1.0,84
34.0,Male,Bachelor's,Senior Product Manager,7.0,95000.0,27.0,1,1.0,155
40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0,27.0,0,2.0,140
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,26.0,1,1.0,58
41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0,30.0,0,1.0,146
45.0,Male,PhD,Senior Data Analyst,17.0,155000.0,28.0,1,3.0,127
32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0,27.0,0,1.0,55
35.0,Male,Master's,Senior Software Developer,9.0,110000.0,26.0,1,2.0,167
49.0,Female,Master's,Director of Human Capital,21.0,180000.0,28.0,0,2.0,31
30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0,27.0,1,1.0,57
44.0,Male,Bachelor's,Senior Sales Manager,16.0,130000.0,28.0,1,1.0,163
27.0,Female,Master's,Junior UX Designer,1.5,45000.0,25.5,0,2.0,88
36.0,Male,Bachelor's,Senior Accountant,7.0,90000.0,29.0,1,1.0,123
41.0,Female,PhD,Senior Marketing Director,17.0,160000.0,24.0,0,3.0,147
31.0,Male,Bachelor's,Junior HR Generalist,4.0,50000.0,27.0,1,1.0,70
39.0,Female,Bachelor's,Senior Operations Manager,10.0,120000.0,29.0,0,1.0,152
47.0,Male,Master's,Director of Finance,20.0,170000.0,27.0,1,2.0,29
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,28.0,0,1.0,72
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,29.0,1,2.0,141
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,30.0,0,3.0,153
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,26.0,1,1.0,59
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,27.0,0,1.0,145
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,30.0,1,1.0,168
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,28.0,0,2.0,131
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,26.0,1,1.0,157
50.0,Female,PhD,Director of Operations,22.0,180000.0,28.0,0,3.0,34
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0,27.5,1,1.0,60
40.0,Female,Bachelor's,Senior Sales Representative,12.0,100000.0,28.0,0,1.0,164
48.0,Male,Master's,Director of Marketing,19.0,170000.0,29.0,1,2.0,33
31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0,28.0,0,1.0,85
33.0,Male,Bachelor's,Senior Product Development Manager,7.0,100000.0,26.0,1,1.0,154
42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0,29.0,0,2.0,139
28.0,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0,26.0,1,1.0,68
40.0,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0,29.0,0,1.0,148
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,28.0,1,3.0,129
33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0,28.0,0,1.0,77
37.0,Male,Master's,Senior Software Architect,9.0,120000.0,28.0,1,2.0,166
51.0,Female,Master's,Director of Human Resources,21.0,190000.0,30.0,0,2.0,32
30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0,27.0,1,1.0,74
43.0,Male,Bachelor's,Senior Project Manager,15.0,120000.0,28.0,1,1.0,159
27.0,Female,Master's,Junior Research Scientist,1.5,50000.0,25.5,0,2.0,81
35.0,Male,Bachelor's,Senior Operations Analyst,8.0,85000.0,27.0,1,1.0,150
42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0,29.0,0,3.0,148
32.0,Male,Bachelor's,Junior Sales Representative,3.0,45000.0,29.0,1,1.0,83
37.0,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0,28.0,0,1.0,132
45.0,Male,Master's,Senior Software Developer,16.0,140000.0,29.0,1,2.0,167
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0,28.0,0,1.0,75
39.0,Male,Bachelor's,Senior Marketing Specialist,10.0,120000.0,29.0,1,1.0,149
44.0,Female,PhD,Senior HR Manager,18.0,160000.0,26.0,0,3.0,136
29.0,Male,Bachelor's,Junior Business Analyst,1.5,40000.0,27.5,1,1.0,58
38.0,Female,Bachelor's,Senior Product Manager,10.0,120000.0,28.0,0,1.0,155
46.0,Male,PhD,Senior Data Analyst,19.0,150000.0,27.0,1,3.0,127
34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0,28.0,0,1.0,71
36.0,Male,Bachelor's,Senior Operations Manager,8.0,95000.0,28.0,1,1.0,152
49.0,Female,Master's,Director of Marketing,21.0,180000.0,28.0,0,2.0,33
31.0,Male,Bachelor's,Junior Financial Analyst,3.0,50000.0,28.0,1,1.0,68
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,30.0,0,1.0,157
47.0,Male,Master's,Director of Operations,20.0,170000.0,27.0,1,2.0,34
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,28.0,0,1.0,72
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,29.0,1,2.0,141
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,30.0,0,3.0,153
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,26.0,1,1.0,59
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,27.0,0,1.0,145
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,30.0,1,1.0,168
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,28.0,0,2.0,131
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,26.0,1,1.0,157
50.0,Female,PhD,Director of Operations,22.0,180000.0,28.0,0,3.0,34
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,350.0,27.5,1,1.0,60
37.0,Female,Bachelor's,Senior Financial Manager,10.0,120000.0,27.0,0,1.0,133
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,28.0,1,3.0,129
31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0,28.0,0,1.0,72
42.0,Male,Bachelor's,Senior Operations Manager,12.0,110000.0,30.0,1,1.0,152
29.0,Female,Bachelor's,Junior Sales Representative,1.5,40000.0,27.5,0,1.0,83
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,28.0,1,1.0,149
44.0,Female,Master's,Senior HR Specialist,15.0,140000.0,29.0,0,2.0,137
33.0,Male,Bachelor's,Junior Operations Manager,4.0,60000.0,29.0,1,1.0,77
39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0,30.0,0,1.0,146
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,29.0,1,3.0,128
32.0,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0,28.0,0,1.0,73
37.0,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0,29.0,1,1.0,132
47.0,Female,Master's,Director of Marketing,20.0,180000.0,27.0,0,2.0,33
30.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,28.0,1,1.0,58
38.0,Female,Bachelor's,Senior Project Manager,9.0,120000.0,29.0,0,1.0,159
46.0,Male,PhD,Senior Data Analyst,17.0,160000.0,29.0,1,3.0,127
34.0,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0,29.0,0,1.0,68
36.0,Male,Bachelor's,Senior Product Manager,8.0,95000.0,28.0,1,1.0,155
49.0,Female,Master's,Director of Operations,21.0,180000.0,28.0,0,2.0,34
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0,28.0,1,1.0,75
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,30.0,0,1.0,157
47.0,Male,Master's,Director of Marketing,19.0,170000.0,28.0,1,2.0,33
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,27.5,0,1.0,59
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,26.0,1,1.0,133
44.0,Female,PhD,Senior Product Designer,15.0,150000.0,29.0,0,3.0,153
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,29.0,1,1.0,58
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,27.0,0,1.0,145
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0,31.0,1,1.0,168
32.0,Male,Bachelor's,Junior Product Manager,4.0,65000.0,28.0,1,1.0,78
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,28.0,0,1.0,124
49.0,Male,PhD,Director of Operations,21.0,180000.0,28.0,1,3.0,34
29.0,Female,Bachelor's,Junior Marketing Specialist,2.0,40000.0,27.0,0,1.0,74
35.0,Male,Bachelor's,Senior Business Development Manager,7.0,90000.0,28.0,1,1.0,125
45.0,Female,Master's,Senior HR Manager,14.0,140000.0,31.0,0,2.0,136
33.0,Male,Bachelor's,Junior Financial Analyst,4.0,60000.0,29.0,1,1.0,68
40.0,Female,Bachelor's,Senior Marketing Manager,12.0,130000.0,28.0,0,1.0,148
44.0,Male,PhD,Senior Data Scientist,16.0,160000.0,28.0,1,3.0,129
30.0,Female,Bachelor's,Junior Operations Coordinator,2.0,40000.0,28.0,0,1.0,76
37.0,Male,Bachelor's,Senior Marketing Analyst,9.0,100000.0,28.0,1,1.0,145
48.0,Female,Master's,Director of HR,20.0,180000.0,28.0,0,2.0,30
31.0,Male,Bachelor's,Junior Project Manager,3.0,55000.0,28.0,1,1.0,79
38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0,29.0,0,1.0,151
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,29.0,1,3.0,128
33.0,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0,28.0,0,1.0,73
36.0,Male,Bachelor's,Senior Business Analyst,8.0,95000.0,28.0,1,1.0,124
49.0,Female,Master's,Director of Marketing,21.0,180000.0,28.0,0,2.0,33
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0,28.0,1,1.0,75
42.0,Female,Bachelor's,Senior Project Manager,12.0,120000.0,30.0,0,1.0,159
47.0,Male,Master's,Director of Marketing,19.0,170000.0,28.0,1,2.0,33
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,27.5,0,1.0,59
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,26.0,1,1.0,133
44.0,Female,PhD,Senior Product Designer,15.0,150000.0,29.0,0,3.0,153
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,29.0,1,1.0,58
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,27.0,0,1.0,145
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0,31.0,1,1.0,168
34.0,Female,Master's,Senior Financial Advisor,6.0,80000.0,28.0,0,2.0,131
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,28.0,1,1.0,149
30.0,Female,Bachelor's,Junior HR Coordinator,2.0,40000.0,28.0,0,1.0,69
37.0,Male,Bachelor's,Senior Business Development Manager,10.0,120000.0,27.0,1,1.0,125
45.0,Female,Master's,Senior Marketing Manager,16.0,160000.0,29.0,0,2.0,148
32.0,Male,Bachelor's,Junior Financial Advisor,4.0,65000.0,28.0,1,1.0,67
39.0,Female,Bachelor's,Senior Project Manager,12.0,130000.0,27.0,0,1.0,159
